Date,LMCADS03,LMCADY,DXY,COMXCOPR,SPX,BCOM,MXWD,CL1,XAU,XAG
2003-01-01,1560.0,1542.5,101.88,399341.0,879.82,110.2756,190.8,31.2,348.05,4.78
2003-01-02,1590.0,1573.4,102.98,399341.0,909.03,113.1054,195.28,31.85,346.05,4.818
2003-01-03,1611.0,1594.75,102.47,399368.0,908.59,114.733,196.02,33.08,351.25,4.89
2003-01-06,1628.5,1611.2,101.97,399458.0,929.01,112.8986,199.69,32.1,351.25,4.8975
2003-01-07,1621.0,1604.0,102.57,399458.0,922.93,112.5945,197.93,31.08,347.25,4.8
2003-01-08,1637.0,1619.75,101.87,399306.0,909.93,113.0563,195.05,30.56,353.63,4.85
2003-01-09,1655.0,1638.5,101.94,399058.0,927.58,114.6426,197.98,31.99,352.75,4.84
2003-01-10,1637.0,1619.5,101.23,398584.0,927.57,113.0309,198.54,31.68,354.75,4.863
2003-01-13,1648.5,1630.0,101.47,398500.0,926.26,113.4454,198.69,32.26,354.55,4.83
2003-01-14,1667.0,1648.0,101.21,398294.0,931.66,113.3916,200.09,32.37,351.35,4.76
2003-01-15,1678.0,1658.0,101.34,399228.0,918.22,114.4877,197.93,33.21,350.75,4.765
2003-01-16,1685.0,1666.25,100.79,399232.0,914.6,115.4663,197.33,33.66,357.45,4.83
2003-01-17,1669.5,1650.75,100.55,398658.0,901.78,115.379,194.88,33.91,356.55,4.8
2003-01-20,1693.0,1673.75,100.47,398658.0,901.78,115.379,193.93,33.91,355.75,4.79
2003-01-21,1691.0,1672.0,100.23,397788.0,887.62,115.589,191.81,34.61,357.75,4.815
2003-01-22,1699.0,1680.25,100.23,397565.0,878.36,116.2472,189.69,32.85,361.85,4.86
2003-01-23,1702.0,1684.0,99.86,397859.0,887.34,115.7025,191.1,32.25,363.05,4.79
2003-01-24,1695.0,1676.5,99.22,397982.0,861.4,117.0199,187.55,33.28,368.25,4.87
2003-01-27,1678.0,1658.5,99.26,397364.0,847.48,115.4975,183.54,32.29,369.65,4.83
2003-01-28,1673.0,1653.25,99.48,397972.0,858.54,116.2783,184.78,32.67,369.25,4.865
2003-01-29,1687.0,1667.25,99.28,397710.0,864.36,117.8701,185.58,33.63,365.95,4.81
2003-01-30,1726.0,1706.75,99.52,398751.0,844.61,118.6888,184.22,33.85,370.35,4.88
2003-01-31,1738.5,1720.5,99.91,396483.0,855.7,118.6439,185.03,33.51,368.15,4.84
2003-02-03,1744.0,1725.5,99.9,395163.0,860.32,118.5417,186.71,32.76,371.05,4.84
2003-02-04,1715.0,1696.0,99.14,393983.0,848.2,119.2693,184.38,33.58,381.25,4.93
2003-02-05,1716.0,1696.75,99.65,392527.0,843.59,119.2318,184.55,33.93,371.75,4.7438
2003-02-06,1690.0,1670.5,99.46,391173.0,838.15,119.6213,182.54,34.16,370.05,4.67
2003-02-07,1683.5,1663.75,99.57,389718.0,829.69,121.0621,180.86,35.12,369.75,4.65
2003-02-10,1718.0,1698.7,100.27,388386.0,835.97,120.5825,180.93,34.48,362.15,4.58
2003-02-11,1710.0,1690.65,100.39,386818.0,829.2,121.4465,180.94,35.44,363.88,4.58
2003-02-12,1696.0,1676.3,100.51,386335.0,818.68,119.9877,179.14,35.77,352.75,4.505
2003-02-13,1660.0,1641.0,99.59,384757.0,817.37,119.9546,178.95,36.36,356.55,4.54
2003-02-14,1666.0,1646.5,100.04,384761.0,834.89,120.5706,181.68,36.8,351.55,4.54
