,LMCADS03,LMCADY,DXY,COMXCOPR,SPX,BCOM,MXWD,CL1,XAU,XAG
count,5543.0,5543.0,5543.0,5543.0,5543.0,5543.0,5543.0,5543.0,5543.0,5543.0
mean,-0.00018489214062296738,-0.00017829459998730518,5.999921714383974e-06,0.0007294443572116497,-0.0002528258382768085,7.018738117069506e-05,-0.00020566595769670897,-0.00108115146506401,-0.00027944822766650697,-0.0001103523503851032
std,0.016053109628589846,0.016458372940445658,0.004791864652850258,0.021906583894628344,0.011790658554404075,0.010247678676100524,0.009877098394880575,0.07177749904536027,0.010721717911271479,0.019581342177230707
min,-0.11201892066222319,-0.11064516129032254,-0.024921334172435583,-0.6104522613065326,-0.10378232919718944,-0.0549095383143785,-0.08517171717171723,-4.759240759240759,-0.09737801701684323,-0.12348516506477214
25%,-0.008636554715676314,-0.008873538561455285,-0.0026349668467298692,-0.0018998041554378897,-0.005469020214654341,-0.005553594527425043,-0.0048777735856192495,-0.012565538332764248,-0.005997457215674684,-0.009770238379025742
50%,0.0,0.0,0.0,0.0,-0.0003895972939029768,0.0,-0.000640204865556937,-0.00023060071486236122,-0.0004981940465811352,-0.0007719027402547374
75%,0.0075467285091178615,0.007745357207230574,0.002653693348162678,0.005133140602665676,0.003936892562545369,0.005371253796703335,0.003793583553908797,0.011881549661320823,0.004902493597399249,0.008070192538540133
max,0.10960334029227559,0.10913445090660279,0.027541371158392502,0.707311172400445,0.1361577114407011,0.06611706860714173,0.10513418903150518,0.3260520398329587,0.09979157549639894,0.2261159783062161
kurtosis,4.538167305336551,4.381153694106207,1.8840322547814221,340.76210165241247,14.20269659268385,3.0212554782551813,13.056234842820821,3518.6844163273877,6.026470566707245,12.203262797622358
skew,0.3068367203409277,0.29797754763504664,0.0875089743126163,0.15891725068775991,0.7853561991863355,0.3917762621383961,0.9211592696283823,-54.138297954267664,0.4835045396997724,1.4025597716719782
Jarque Bera,4832.667358353413,4504.934823750965,824.4565564811675,26770111.122066747,47066.54226623079,2244.5959320769243,40076.35634970108,2857076775.562778,8585.747071319774,36142.484252870185
